Date,Daily Close,Daily Returns,% Change ,Volatility ,Annualised Volatility,,
31-01-2025,1.04321,-0.015941182,-1.594118155,0.004504801,0.071511494,,
02-02-2025,1.02658,0.008133804,0.81338035,0.004383445,0.069585025,,
03-02-2025,1.03493,0.003604108,0.360410849,0.004366441,0.069315095,,
04-02-2025,1.03866,0.0047465,0.47465003,0.004361839,0.069242044,,
05-02-2025,1.04359,-0.003823341,-0.382334058,0.004357452,0.069172402,,
06-02-2025,1.0396,0.000336668,0.033666795,0.004350973,0.069069551,,
07-02-2025,1.03995,-0.007856147,-0.785614693,0.004355628,0.069143449,,
09-02-2025,1.03178,0.001715482,0.171548198,0.00432443,0.0686482,,
10-02-2025,1.03355,0.003734701,0.373470079,0.004324318,0.068646413,,
11-02-2025,1.03741,0.005870389,0.587038876,0.004319381,0.068568055,,
12-02-2025,1.0435,0.003200767,0.320076665,0.004305664,0.068350293,,
13-02-2025,1.04684,0.004241336,0.424133583,0.004305493,0.068347582,,
14-02-2025,1.05128,-0.000675367,-0.067536717,0.004299438,0.068251469,,
16-02-2025,1.05057,-0.000751973,-0.075197274,0.004302201,0.068295328,,
17-02-2025,1.04978,-0.002791061,-0.279106098,0.004301543,0.068284879,,
18-02-2025,1.04685,-0.000745092,-0.074509242,0.004297463,0.068220108,,
19-02-2025,1.04607,0.0041871,0.418710029,0.004298374,0.068234579,,
20-02-2025,1.05045,-0.000409348,-0.040934837,0.004292157,0.068135877,,
21-02-2025,1.05002,0.002609474,0.260947411,0.004293087,0.068150638,,
23-02-2025,1.05276,-0.000788404,-0.078840381,0.004297969,0.06822815,,
24-02-2025,1.05193,0.000494329,0.049432947,0.004305759,0.068351806,,
25-02-2025,1.05245,-0.00011402,-0.011401967,0.00430686,0.068369291,,
26-02-2025,1.05233,-0.003458991,-0.3458991,0.004307057,0.068372408,,
27-02-2025,1.04869,-0.006455673,-0.645567327,0.004301018,0.068276541,,
28-02-2025,1.04192,0.000326321,0.032632064,0.004281299,0.067963516,,
02-03-2025,1.04226,0.007464548,0.746454819,0.004290422,0.068108341,,
03-03-2025,1.05004,0.012961411,1.296141099,0.004267466,0.067743919,,
04-03-2025,1.06365,0.017223711,1.722371081,0.004195376,0.066599535,,
05-03-2025,1.08197,0.002883629,0.288362894,0.004058044,0.064419448,,
06-03-2025,1.08509,0.003243971,0.324397055,0.00406582,0.064542894,,
07-03-2025,1.08861,-0.001469764,-0.146976419,0.004063607,0.064507763,,
09-03-2025,1.08701,0.000220789,0.022078914,0.004062243,0.064486115,,
10-03-2025,1.08725,0.006842952,0.68429524,0.004062942,0.064497211,,
11-03-2025,1.09469,-0.001918351,-0.191835131,0.004041784,0.064161338,,
12-03-2025,1.09259,-0.003102719,-0.310271923,0.004039995,0.064132933,,
13-03-2025,1.0892,0.001643408,0.164340801,0.004034154,0.064040215,,
14-03-2025,1.09099,-0.001659044,-0.165904362,0.004033868,0.064035667,,
16-03-2025,1.08918,0.003406232,0.340623221,0.004034246,0.064041673,,
17-03-2025,1.09289,0.002232613,0.223261261,0.063519553,1.008341639,,
18-03-2025,1.09533,-0.001606822,-0.160682169,0.063646876,1.010362826,,
19-03-2025,1.09357,-0.003163949,-0.316394927,0.063775963,1.012412019,,
20-03-2025,1.09011,-0.003880342,-0.388034235,0.063905974,1.014475889,,
21-03-2025,1.08588,-0.001758942,-0.175894206,0.064036795,1.016552598,,
23-03-2025,1.08397,0.001577534,0.157753443,0.064168295,1.018640099,,
24-03-2025,1.08568,-0.002496131,-0.249613146,0.064299819,1.020727982,,
25-03-2025,1.08297,-0.00260395,-0.260395025,0.06443303,1.022842638,,
26-03-2025,1.08015,0.001573855,0.157385548,0.064567081,1.024970628,,
27-03-2025,1.08185,0.002394047,0.239404723,0.064701083,1.027097855,,
28-03-2025,1.08444,8.29921E-05,0.008299214,0.064835614,1.029233471,,
30-03-2025,1.08453,0.000184412,0.018441168,0.064971753,1.031394608,,
31-03-2025,1.08473,-0.00165018,-0.165018023,0.065108727,1.033568997,,
01-04-2025,1.08294,0.008717011,0.87170111,0.065246947,1.035763181,,
02-04-2025,1.09238,0.01894945,1.894944983,0.065381007,1.037891312,,
03-04-2025,1.11308,-0.002147195,-0.214719517,0.065503933,1.039842707,,
04-04-2025,1.11069,-0.009687672,-0.968767163,0.065644837,1.042079478,,
06-04-2025,1.09993,0.004545744,0.454574382,0.065785718,1.044315894,,
07-04-2025,1.10493,-0.000886934,-0.088693401,0.065926148,1.046545151,,
08-04-2025,1.10395,0.004973051,0.497305132,0.066069602,1.048822414,,
09-04-2025,1.10944,0.024967551,2.49675512,0.066211615,1.051076798,,
10-04-2025,1.13714,0.008750022,0.875002198,0.066329109,1.052941955,,
11-04-2025,1.14709,-0.005492158,-0.549215842,0.066470057,1.055179447,,
13-04-2025,1.14079,0.001323644,0.132364414,0.066617556,1.057520923,,
14-04-2025,1.1423,-0.004018209,-0.401820888,0.066765034,1.059862061,,
15-04-2025,1.13771,0.003041197,0.304119679,0.066914561,1.06223573,,
16-04-2025,1.14117,-0.002085579,-0.208557884,0.067063277,1.064596513,,
17-04-2025,1.13879,0.00077275,0.077275002,0.06721466,1.066999646,,
18-04-2025,1.13967,0.010968087,1.096808725,0.067366356,1.069407752,,
20-04-2025,1.15217,0.004383034,0.438303375,0.067511986,1.07171955,,
21-04-2025,1.15722,-0.002203557,-0.22035568,0.067663997,1.074132658,,
22-04-2025,1.15467,-0.009266717,-0.92667169,0.067819548,1.076601946,,
23-04-2025,1.14397,-0.003688908,-0.368890793,0.067975578,1.079078855,,
24-04-2025,1.13975,-0.000868612,-0.086861154,0.068133457,1.081585092,,
25-04-2025,1.13876,-0.001888019,-0.188801855,0.068292013,1.084102098,,
27-04-2025,1.13661,0.005138086,0.513808606,0.068451901,1.086640236,,
28-04-2025,1.14245,-0.000595212,-0.059521204,0.06860994,1.089149029,,
29-04-2025,1.14177,-0.001725391,-0.172539128,0.068771788,1.091718285,,
30-04-2025,1.1398,-0.005018424,-0.501842428,0.068935054,1.09431006,,
01-05-2025,1.13408,0.003262556,0.326255643,0.069099767,1.0969248,,
02-05-2025,1.13778,-0.002777338,-0.277733833,0.069263526,1.099524391,,
04-05-2025,1.13462,0.001577621,0.15776207,0.069430509,1.102175159,,
05-05-2025,1.13641,0.001363944,0.136394435,0.069597475,1.10482566,,
06-05-2025,1.13796,-0.000281205,-0.028120496,0.069765743,1.107496836,,
07-05-2025,1.13764,-0.004113779,-0.41137794,0.069935844,1.110197104,,
08-05-2025,1.13296,-0.003407005,-0.340700466,0.070107875,1.11292802,,
09-05-2025,1.1291,-0.00433974,-0.433973962,0.070281135,1.11567843,,
11-05-2025,1.1242,-0.00063156,-0.063156022,0.070455742,1.118450225,,
12-05-2025,1.12349,-0.003337813,-0.333781342,0.070631066,1.121233412,,
13-05-2025,1.11974,0.005938879,0.593887867,0.070808238,1.124045933,,
14-05-2025,1.12639,-0.00328483,-0.32848303,0.070982736,1.126816009,,
15-05-2025,1.12269,-0.000703667,-0.070366709,0.071162585,1.129671014,,
16-05-2025,1.1219,-0.001916392,-0.191639184,0.071343285,1.132539534,,
